date,population
2013-01-14,56666
2013-01-15,57250
2013-01-16,58576
2013-01-17,60004
2013-01-18,61186
2013-01-20,65307
2013-01-21,68145
2013-01-22,70517
2013-01-23,73002
2013-01-24,73002
2013-01-27,83988
2013-01-28,86110
2013-01-29,88632
2013-01-30,91197
2013-01-31,93417
2013-02-03,95703
2013-02-04,96706
2013-02-05,97935
2013-02-06,99667
2013-02-07,101552
2013-02-10,105113
2013-02-11,106463
2013-02-12,108026
2013-02-17,116983
2013-02-18,118424
2013-02-19,120428
2013-02-20,122603
2013-02-21,124338
2013-03-11,156557
2013-03-13,158766
2013-03-17,164365
2013-03-25,171515
2013-03-26,172316
2013-03-27,173274
2013-03-28,174307
2013-04-01,179101
2013-04-02,180455
2013-04-03,181196
2013-04-05,182302
2013-04-07,185461
2013-04-08,186050
2013-04-09,186765
2013-04-10,187587
2013-04-11,188653
2013-04-14,192193
2013-04-15,193462
2013-04-16,194368
2013-04-17,195839
2013-04-18,197042
2013-04-21,202855
2013-04-22,202689
2013-04-23,202993
2013-04-24,202993
2013-04-25,202993
2013-05-09,152422
2013-05-13,168911
2013-05-14,169252
2013-05-15,170103
2013-05-16,170103
2013-05-19,173107
2013-05-21,172162
2013-05-23,171562
2013-05-27,170236
2013-05-28,169948
2013-05-29,170317
2013-05-30,170189
2013-06-03,147287
2013-06-04,147601
2013-06-05,147637
2013-06-10,147902
2013-06-11,142525
2013-06-12,142759
2013-06-13,142743
2013-06-16,143267
2013-06-17,142707
2013-06-18,142489
2013-06-19,142592
2013-06-20,142875
2013-06-23,143682
2013-06-24,143384
2013-06-25,143533
2013-06-26,143730
2013-06-27,143949
2013-06-30,144430
2013-07-01,144570
2013-07-02,144476
2013-07-03,144279
2013-07-04,144428
2013-07-07,145049
2013-07-08,144778
2013-07-09,144854
2013-07-10,144622
2013-07-11,133759
2013-07-14,133405
2013-07-15,132927
2013-07-17,132705
2013-07-18,132658
2013-07-22,132176
2013-07-24,131992
2013-07-25,131701
2013-07-30,131637
2013-07-31,131504
2013-08-01,131389
2013-08-05,130724
2013-08-06,130180
2013-08-07,130016
2013-08-12,129659
2013-08-13,129522
2013-08-14,129314
2013-08-18,124051
2013-08-20,123301
2013-08-21,123286
2013-08-22,123093
2013-08-26,123051
2013-08-27,122817
2013-08-28,122723
2013-08-29,122496
2013-09-01,122614
2013-09-02,122017
2013-09-18,120739
2013-09-19,120602
2013-09-22,121130
2013-09-23,120783
2013-09-24,120546
2013-10-03,119975
2013-10-06,120695
2013-10-07,120695
2013-10-08,120785
2013-10-14,121040
2013-10-17,121776
2013-10-22,122191
2013-10-23,122634
2013-10-24,122537
2013-10-28,122673
2013-10-29,122673
2013-10-30,109998
2013-11-03,110439
2013-11-05,110453
2013-11-11,112229
2013-11-12,112394
2013-11-14,112116
2013-11-17,112874
2013-11-18,112813
2013-11-19,113131
2013-11-21,113131
2013-11-26,113607
2013-11-27,113721
2013-11-28,113893
2013-12-03,114813
2013-12-04,114862
2013-12-05,114865
2013-12-09,116785
2013-12-10,117334
2013-12-18,118150
2013-12-19,118231
2013-12-31,124105
2014-01-15,124105
2014-01-20,127574
2014-01-23,127712
2014-01-26,128567
2014-01-27,128880
2014-01-28,128681
2014-01-29,128560
2014-02-02,128415
2014-02-04,129276
2014-02-06,129195
2014-02-09,129438
2014-02-10,129783
2014-02-13,101156
2014-02-18,102640
2014-02-20,102704
2014-02-23,104346
2014-02-25,104883
2014-03-05,104607
2014-03-06,104809
2014-03-09,107020
2014-03-10,107138
2014-03-23,106777
2014-03-30,106073
2014-04-01,106073
2014-04-07,106442
2014-04-10,104494
2014-04-29,103301
2014-04-30,101991
2014-05-04,101402
2014-05-30,91120
2014-06-01,91110
2014-06-04,84935
2014-06-05,84960
2014-06-08,84983
2014-06-26,84980
2014-07-01,83500
2014-07-02,83500
2014-07-03,83231
2014-07-07,83093
2014-07-08,82867
2014-07-09,82853
2014-07-15,82596
2014-07-16,82385
2014-07-20,82268
2014-07-21,82015
2014-07-23,81842
2014-07-24,81769
2014-07-27,81671
2014-07-30,81690
2014-07-31,81682
2014-08-03,81659
2014-08-07,80864
2014-08-11,80428
2014-08-21,79701
2014-08-26,79708
2014-08-28,79526
2014-09-03,79596
2014-09-07,79496
2014-09-09,79354
2014-09-18,79180
2014-09-29,79071
2014-10-08,79281
